ID,Name,Station,FirstCategory,SecondCategory,TotalRating
491,Gyouzamatsukichi  ,Kitano Hakubaicho,Dumplings,Izakaya (Tavern),3.07
492,Pontochounabariya  ,Gion Shijo,Italian,Wine bar,3.3
493,Kamehameha  ,Kawaramachi,Okonomiyaki,Teppanyaki,3.05
494,Bunta  ,Nagaoka Tenjin,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.02
495,Bejitejiya  ,Shijo,Korean cuisine,Yakiniku (BBQ Beef),3.5
496,Juujuu  ,Kyoto,Yakiniku (BBQ Beef),Japanese food (other),3.03
497,Kuuan  ,Kawaramachi,Izakaya (Tavern),Creative cuisine,3.04
498,L'ajitto  ,Marutamachi,Teppanyaki,Okonomiyaki,3.23
499,Aburaya  ,Uji,Izakaya (Tavern),Kushi-age (Fried Skewer),3.05
500,yakitorisutandosakabakadofuku  ,Shijo,Izakaya (Tavern),Japanese food (other),3.28
501,Kyoutosakagurakan  ,Shijo,Izakaya (Tavern),Bar,3.25
502,Sutekihanasato  ,Gion Shijo,Steak,Teppanyaki,3.17
503,Tawaterasu  ,Kyoto,Buffet style,Kaiseki (Traditional Japanese),3.35
504,Gionshimbashinakatani  ,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.56
505,Orudohonkonresutorankyouto  ,Shijo,Chinese,Cantonese Cuisine,3.88
506,Okonomiyakitsuruhashifuugetsu  ,Kyoto,Izakaya (Tavern),Okonomiyaki,3.09
507,Yakinikuyaruki  ,Gion Shijo,Yakiniku (BBQ Beef),Steak,3.07
508,trattoria sette  ,Shichijo,Italian,Pizza,3.57
509,Kurosuke  ,Kitano Hakubaicho,Tofu,Yuba,3.09
510,Imozou  ,Gion Shijo,Izakaya (Tavern),Motsu Nabe (Offel Hot Pot),3.05
511,Denen  ,Sanjo,Dining bar,Bar,3.04
512,Kenzoesuteitowainarigionten  ,Gion Shijo,Italian,Wine bar,3.61
513,Osteria Bastille  ,Karasuma,Italian,French,3.42
514,IN THE GREEN  ,Kitayama,Italian,Pizza,3.52
515,Ajoiichanchi  ,Fushimi Momoyama,Dining bar,Cafe,3.08
516,Kitayamafuurin  ,Kitayama,Kaiseki (Traditional Japanese),Seafood,3.05
517,burassuri-kontowa-ru  ,Nishioji,Izakaya (Tavern),Bistro,3.53
518,Honmamonwagyu-sakanaya-hirari  ,Kawaramachi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.17
519,Manchou  ,Myoshinji,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.07
520,Risutoranteoraegion  ,Gion Shijo,Italian,Pasta,3.59
521,Taishuunikubarujuu  ,Sai,Bar,Steak,3.05
522,Oyajinokura  ,Kyoto Shiyakusho Mae,Izakaya (Tavern),Seafood,3.04
523,Occobe.  ,Higashiyama,Italian,Pasta,3
524,itariamba-rukimuraya  ,Kyoto,Italian,Bar,3.08
525,Cafe Restaurant Le Temps  ,Kyoto,Buffet style,Cafe,3.46
526,sushidainingudaihachi  ,Karasuma,Sushi,Creative cuisine,3.06
527,Umayakinikusemmontensakuratomomiji  ,Sanjo,Yakiniku (BBQ Beef),Meat dishes,3.53
528,kyoutofushimigurapontochouminamian  ,Gion Shijo,Izakaya (Tavern),Japanese food (other),3
529,Gempinfugushijoukarasumanoseki  ,Karasuma,Izakaya (Tavern),Fugu (Blowfish),3.05
530,Shou  ,Marutamachi,Oden,Izakaya (Tavern),3.35
531,Nikujuuhachi  ,Rokujizo,Yakiniku (BBQ Beef),NA,3
532,Gori's Kitchen  ,Jujo,Italian,Pizza,3.05
533,Tenkanoyakinikudaishougun  ,Kyoto,Yakiniku (BBQ Beef),Korean cuisine,3.05
534,Kameya  ,Saiin,Crab,Fugu (Blowfish),3.02
535,giombashunrou  ,Gion Shijo,Meat dishes,Regional Cuisine (Other),3.06
536,Chishokufu  ,Emmachi,Chinese,Sichuan Cuisine,3.06
537,eetokodori  ,Nishioji,Izakaya (Tavern),Yakitori (Grilled chicken),3.05
538,Kasuian  ,Higashiyama,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.06
539,Mimasuyamonami  ,Kawaramachi,Creative cuisine,Kyoto Cuisine,3.49
540,Juunikiyakan  ,Kyoto,Izakaya (Tavern),Kyoto Cuisine,3.06
541,kunseitojibi-ruwachi  ,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),3.51
542,Torihime  ,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),3
543,Cafe Lavender  ,Nijo,Buffet style,Izakaya (other),3.04
544,Kyoutobatake  ,Kyoto,Shabu Shabu (Japanese Steamboat),Izakaya (Tavern),3.03
545,Fesshimon  ,Keihan Yamashina,Italian,Bar,3.05
546,nikuyaoushin  ,Karasuma Oike,Yakiniku (BBQ Beef),Kyoto Cuisine,3.58
547,Sumibirobataikoru  ,Shijo,Izakaya (Tavern),Seafood,3.04
548,Hisa  ,Emmachi,Champon Noodle,Ramen,3.38
549,Horumondaigorou  ,Gion Shijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.44
550,Hikohachi  ,Gion Shijo,Sushi,Seafood,3.04
551,Matsusakagyuuwattsu  ,Karasuma Oike,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.26
552,FORTUNE GARDEN KYOTO  ,Kyoto Shiyakusho Mae,Bistro,Western Cuisine,3.59
553,Enrian  ,Fushimi Momoyama,Creative cuisine,Japanese food (other),3
554,kyuushuusakabaajito  ,Nishi Maizuru,Izakaya (Tavern),Fowl,3.03
555,Heso  ,Kyoto,Standing style soba,Izakaya (Tavern),3.35
556,Kyounozenkuruma  ,Shijo,Izakaya (Tavern),Yakitori (Grilled chicken),3.52
557,oushuuizakayabiruzu  ,Fushimi Momoyama,Izakaya (Tavern),Pizza,3.03
558,Aburishibuya  ,Keihan Yamashina,Izakaya (Tavern),Robatayaki,3.05
559,Norakuro  ,Nishioji,Italian,Bistro,3.06
560,Fuubitosuuro  ,Kawaramachi,Bar,Steak,3.29
561,Kaisendokorowatanabeya  ,Karasuma Oike,Seafood,Izakaya (Tavern),3.06
562,Gioniwamoto  ,Gion Shijo,Kyoto Cuisine,Kappo (Traditional Japanese),3.63
563,Gyuutankeisuke  ,Kyoto,Izakaya (Tavern),Gyutan (Beef tongue),3.05
564,Oribuoirusemmontenaorio  ,Sanjo,Bistro,Steak,3.06
565,Seichuuan  ,Mototanaka,French,Western Food (Other),3.04
566,Kyoukurozakura  ,Gion Shijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.06
567,Nettaishokudou  ,Gion Shijo,Thailand cooking,NA,3.15
568,Toriseetakoyakushiten  ,Karasuma,Yakitori (Grilled chicken),Izakaya (Tavern),3.04
569,Fujiishi  ,Gion Shijo,Kappo (Traditional Japanese),Japanese food (other),3.5
570,yakinikuyaruki  ,Ichijoji,Yakiniku (BBQ Beef),Izakaya (Tavern),3.03
571,Unkai  ,Nijojo Mae,Kaiseki (Traditional Japanese),Sushi,3.18
572,Izakayamaruya  ,Kawaramachi,Izakaya (Tavern),Japanese food (other),3.03
573,kyoutoarashiyamagoseiyuunoyadoranzan  ,Arashiyama,Other,NA,3.21
574,Shimogamosaryou  ,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.61
575,Kifunekiraku  ,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.52
576,Nikuyasuzu  ,Shichijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.06
577,KITAYAMA MONOLITH  ,Shugakuin,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.06
578,Watanabe  ,Nijojo Mae,Beef dishes,French,3.54
579,clover  ,Sanjo,Dining bar,Italian,3.06
580,hamba-guandosute-kipondo  ,Tambaguchi,Hamburger Steak,Steak,3.06
581,Gempinfugukyoutoekimaenoseki  ,Kyoto,Fugu (Blowfish),Hot Pot (other),3.07
582,guramuromanthikkumairu-mu  ,Kyoto Shiyakusho Mae,Dining bar,Italian,3.03
583,Giombengara  ,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.05
584,gochisouizakayaippaiippai  ,Fujinomori,Izakaya (Tavern),Seafood,3
585,uotanafumibun  ,Sanjo,Kappo (Traditional Japanese),Kyoto Cuisine,3.35
586,Kyouhorumonkura  ,Kawaramachi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.04
587,itariambarutoreotto  ,Omiya,Italian,Pizza,3.09
588,Buraitonkicchin  ,Keihan Yamashina,Buffet style,Western Cuisine,3.16
589,Aritsune  ,Kyoto Shiyakusho Mae,Kappo (Traditional Japanese),Kyoto Cuisine,3.69
590,Akayashirosakae  ,Kawaramachi,Yakiniku (BBQ Beef),Izakaya (Tavern),3.21
591,Kihara  ,Marutamachi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.15
592,Kamon  ,Kawaramachi,Italian,Bar,3.31
593,Mew’z cafe  ,Kyoto Shiyakusho Mae,Dining bar,Thailand cooking,3.06
594,kyougokushinobinosato  ,Kawaramachi,Creative cuisine,Sushi,3
595,Takaraya  ,Kujo,Izakaya (Tavern),Yakitori (Grilled chicken),3.07
596,datten  ,Gion Shijo,Italian,Bar,3.03
597,Tatsumi  ,Saiin,Kappo (Traditional Japanese),Sushi,3.05
598,chuugokuryourikoukaryuuhou  ,Kyoto,Chinese,Dim sum,3.31
599,Kaburaya  ,Gion Shijo,Kyoto Cuisine,Creative cuisine,3.51
600,Kaiseitei  ,Kitayama,French,Italian,3.39
601,Kushikatsutakoyakiseichan  ,Kyoto,Izakaya (Tavern),Takoyaki,3.05
602,Gyuuzen  ,Shijo,Shabu Shabu (Japanese Steamboat),Sukiyaki,3.05
603,Kyouzakanafukuya  ,Nijojo Mae,Izakaya (Tavern),Seafood,3.04
604,Toto  ,Nishi Maizuru,Seafood,Sushi,3.22
605,Ganko  ,Kyoto Shiyakusho Mae,Kaiseki (Traditional Japanese),Shabu Shabu (Japanese Steamboat),3.52
606,PASTA MORE  ,Kyoto,Italian,French,3
607,Kyoumachibaru  ,Momoyamagoryomae,Dining bar,Izakaya (Tavern),3.04
608,wagyuuyakinikutoku  ,Sanjo,Yakiniku (BBQ Beef),Korean cuisine,3.53
609,Dembei  ,Kurama,Soba,Kamameshi (Clay pot rice),3.24
610,Tsukinokurabito  ,Fushimi Momoyama,Kappo (Traditional Japanese),Dining bar,3.5
611,Kinnotori  ,Kujo,Izakaya (Tavern),Yakitori (Grilled chicken),3
612,Zekuu  ,Imadegawa,Ramen,Boneless deep-fried chicken,3.34
613,Rojimon  ,Karasuma Oike,Izakaya (Tavern),Kyoto Cuisine,3.57
614,Aiemuo  ,Shichijo,Pizza,Dining bar,3.06
615,Al Vere  ,Momoyamagoryomae,Italian,Pasta,3
616,Nijoukiduki  ,Kyoto Shiyakusho Mae,Sushi,Creative cuisine,3.57
617,Hirarinteitemboukaku  ,Kyoto,Izakaya (Tavern),Kyoto Cuisine,3
618,Kyoutogiommiyagawachououmie  ,Kiyomizu Gojo,Wine bar,Bar,3.26
619,kibunebeniya  ,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.54
620,Koikoi  ,Gion Shijo,Yakitori (Grilled chicken),Kushi-age (Fried Skewer),3
621,Suiba  ,Karasuma,Stand Bar,Dining bar,3.53
622,Bussarakan  ,Kiyomizu Gojo,Thailand cooking,Creative cuisine,3.14
623,Saikouchou  ,Ogura,Yakitori (Grilled chicken),Izakaya (Tavern),3.05
624,Noukoutoripaitanramemmisora  ,Kawaramachi,Ramen,Tsukemen,3.09
625,Yakinikutoraji  ,Kyoto,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.13
626,Ganko  ,Kyoto,Kaiseki (Traditional Japanese),Japanese food (other),3.18
627,Sajjoupakuchi  ,Kyoto Shiyakusho Mae,Thailand cooking,Izakaya (Tavern),3.52
628,Gionhatanaka  ,Gion Shijo,Ryokan,Kyoto Cuisine,3.65
629,YURURI  ,Jingu Marutamachi,Izakaya (Tavern),NA,3.17
630,Yakinikushoukakuoukiyamachitei  ,Sanjo,Yakiniku (BBQ Beef),Gyutan (Beef tongue),3.06
631,Houshouan  ,Gion Shijo,Kyoto Cuisine,Tofu,3.03
632,Kankokuanjupontochourinanha  ,Gion Shijo,Korean cuisine,Asian & ethnic cuisine (and others),3.56
633,oumigyuujukuseisute-kiichigo-kyu-roku  ,Sanjo,Steak,Yakiniku (BBQ Beef),3.06
634,Yukinoshita  ,Nijojo Mae,Pancake,Shaved ice (snow cone),3.58
635,Yakinikuhorumonfukukawa  ,Omiya,Yakiniku (BBQ Beef),NA,3.04
636,Purachinabifu  ,Gion Shijo,Teppanyaki,Steak,3.53
637,Gionroiro  ,Gion Shijo,French,NA,3.83
638,Gyuurakutei  ,Shijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.16
639,Ristorante t.v.b  ,Gion Shijo,Italian,Wine bar,3.67
640,YEBISU  ,Keihan Yamashina,Dandan noodles,Ramen,3.07
641,Takayasuzekuu  ,Karasuma,Ramen,NA,3.09
642,Koshitsuyakinikugokkoya  ,Kyoto Shiyakusho Mae,Yakiniku (BBQ Beef),Izakaya (Tavern),3.02
643,Ebisu  ,Kyoto,Ramen,Chinese,3.51
644,izakayakyounoshunsaiirodori  ,Kyoto,Izakaya (Tavern),Seafood,3.05
645,matono  ,Gion Shijo,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),3.72
646,Shiunsen  ,Kyoto Shiyakusho Mae,Soba,Kappo (Traditional Japanese),3.53
647,BEER PUB Takumiya  ,Karasuma Oike,Dining bar,Italian,3.54
648,Kidoriya  ,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),3
649,Kumamotosougouinshokutemmao  ,Karasuma,Bar,Cafe,3.25
650,shijoupakuchi-  ,Shijo,Thailand cooking,Izakaya (Tavern),3.34
651,SOUDEN  ,Karasuma Oike,Sushi,NA,3.08
652,Kyoutotsuyushabuchiriri  ,Marutamachi,Shabu Shabu (Japanese Steamboat),Sukiyaki,3.51
653,waintoonikudaisen  ,Gojo,Italian,Yakiniku (BBQ Beef),3.04
654,Gokyou  ,Kuramaguchi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.09
655,Daburin  ,Kyoto Shiyakusho Mae,Pub,Beer,3.06
656,Enyahanare  ,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),3.05
657,koubegyuuyakinikutaishitei  ,Kawaramachi,Yakiniku (BBQ Beef),Chiritori nabe (tripe),3.06
658,nihonryourisakuragawa  ,Kyoto Shiyakusho Mae,Kaiseki (Traditional Japanese),Kappo (Traditional Japanese),3.89
659,Sushikawano  ,Kitaoji,Sushi,Seafood,3.59
660,Mameyagenzou  ,Kyoto Shiyakusho Mae,Kyoto Cuisine,Tofu,3.38
661,chuukasobatakayasu  ,Ichijoji,Ramen,Boneless deep-fried chicken,3.59
662,Kyouhorumontaisha  ,Kawaramachi,Horumon (BBQ Offel),Motsu Nabe (Offel Hot Pot),3.04
663,cafe Cento Cento  ,Kyoto,Cafe,Pasta,3
664,yakinikubunya  ,Tambaguchi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.52
665,Teuchisobaminagawa  ,Karasuma Oike,Soba,Izakaya (Tavern),3.17
666,Kerara  ,Kyoto Shiyakusho Mae,India cuisine,Indian curry,3.22
667,Maribu  ,Shijo,Dining bar,Bar,3.07
668,takoyakimihashiya  ,Mototanaka,Takoyaki,NA,3.3
669,Taverunamezzanotte  ,Kawaramachi,Italian,Bar,3.5
670,Shunsaitempuraarima  ,Shijo,Fried Foods (other),Kappo (Traditional Japanese),3.25
671,Kitanoguriru  ,Kyoto,Hamburger Steak,Croquette,3.09
672,Torishinoguraten  ,Ogura,Izakaya (Tavern),Yakitori (Grilled chicken),3.03
673,hakataaburimotsunabewarajiya  ,Kyoto,Izakaya (Tavern),Motsu Nabe (Offel Hot Pot),3.06
674,Ryuumon  ,Sanjo Keihan,Sichuan Cuisine,Chinese,3.27
675,Kaiuntei  ,Katsura,Yakiniku (BBQ Beef),Korean cuisine,3.19
676,Kemuri  ,Shijo,Izakaya (Tavern),Kyoto Cuisine,3.5
677,Ajirokkon  ,Karasuma,Kappo (Traditional Japanese),Izakaya (Tavern),3.45
678,Rinya  ,Demachiyanagi,Pasta,Cafe,3
679,Wasabi  ,Gion Shijo,Sushi,Izakaya (Tavern),3.18
680,Kappousaraku  ,Marutamachi,Kappo (Traditional Japanese),Kyoto Cuisine,3.41
681,kaisembarukamebarueito  ,Nijo,Bar,Wine bar,3.29
682,Roko  ,Kyoto Shiyakusho Mae,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),3.26
683,kafeandopanke-kiguramu  ,Karasuma,Cafe,Pancake,3.03
684,Kyouryouritakeshimaichigo  ,Kyoto Shiyakusho Mae,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.07
685,Kiyomizujunsei  ,Kiyomizu Gojo,Tofu,Yuba,3.31
686,Kokekokko  ,Kyoto,Izakaya (Tavern),Steak,3.05
687,Gionuemori  ,Gion Shijo,Kyoto Cuisine,Kappo (Traditional Japanese),3.49
688,Daniel's  ,Karasuma,Italian,Pasta,3.26
689,Kyounojidoriyaaki  ,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),3.06
690,Rozurumu  ,Nijojo Mae,French,Western Cuisine,3.17
691,ottimo  ,Marutamachi,Italian,Pasta,3.48
692,Kunseimaketto  ,Higashino,Cafe,Western Food (Other),3.33
693,Miyakohanten  ,Kuzuha,Chinese,Ramen,3.2
694,Shichirinya  ,Kitaoji,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3
695,Kushiagetoshiko  ,Kitayama,Kushi-age (Fried Skewer),Creative cuisine,3.44
696,Ishiyakinamapasutakuranosuke  ,Katsura,Pasta,Italian,3.08
697,Buruvaru  ,Kyoto,Buffet style,Teppanyaki,3.08
698,ORENO PAN okumura  ,Gion Shijo,Bread,Cafe,3.56
699,Osuteriakochinerra  ,Shijo,Italian,Wine bar,3.53
700,Sumibiyakinikugyuugyuutei  ,Sai,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.03
701,Bapontochoukisshou  ,Sanjo,Bar,Pub,3.04
702,karubidontosundoufusemmontenkandon  ,Fushimi,Korean cuisine,Ramen,3.33
703,Momoya  ,Karasuma,Izakaya (Tavern),Kushi-age (Fried Skewer),3.09
704,motsunabekamehachi  ,Sanjo,Motsu Nabe (Offel Hot Pot),Izakaya (Tavern),3.51
705,nikubarushouzudainingu  ,Karasuma,Bar,Yakiniku (BBQ Beef),3
706,yakinikushokudoukandon  ,Matsuiyamate,Yakiniku (BBQ Beef),Korean cuisine,3.07
707,Kyoutohanagushi  ,Kyoto,Kushi-age (Fried Skewer),Yakitori (Grilled chicken),3.07
708,Harise  ,Kiyomizu Gojo,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.6
709,Hayashi  ,Shijo,Horumon (BBQ Offel),Yakiniku (BBQ Beef),3.51
710,Iori  ,Kyoto Shiyakusho Mae,Izakaya (Tavern),Seafood,3.26
711,Kankokusakuratei  ,Nishioji,Yakiniku (BBQ Beef),Creative cuisine,3.27
712,Norumandhi  ,Kyoto Shiyakusho Mae,French,Mediterranean,3.55
713,Rokurokuato  ,Saiin,Izakaya (Tavern),Seafood,3.46
714,Sagano  ,Arashiyama,Tofu,Yuba,3.58
715,Kaosusupaisudaina  ,Kyoto Shiyakusho Mae,Curry (other),Dining bar,3.35
716,Erushimmachi  ,Shijo,French,Italian,3.44
717,Ginzaraion  ,Kyoto,Beer,beer restaurant,3.08
718,kyouyakinikukikyou  ,Karasuma Oike,Yakiniku (BBQ Beef),Izakaya (Tavern),3.24
719,Robatasushihotaru  ,Karasuma Oike,Robatayaki,Seafood,3.38
720,nikubaruginjirou  ,Kyoto,Bar,Italian,3.44
721,Tanuki  ,Sanjo,Izakaya (Tavern),Creative cuisine,3
722,Arashiyamamitate  ,Arashiyama,French,Kyoto Cuisine,3.66
723,Gansochikaranikumiyoshi  ,Nijo,Yakiniku (BBQ Beef),Izakaya (Tavern),3.07
724,Rakuzouutage  ,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),3.02
725,Kyoutomamehachi  ,Gion Shijo,Kyoto Cuisine,Tofu,3.08
726,Garejisankyukafe  ,Uzumasa Tenjingawa,Cafe,Izakaya (other),3.03
727,Membou  ,Kyoto Shiyakusho Mae,Kaiseki (Traditional Japanese),Udon Suki,3.11
728,Masohohanare  ,Kyoto,Izakaya (Tavern),Seafood,3.18
729,Yumeya  ,Kyoto Shiyakusho Mae,Okonomiyaki,Chow Mein Noodle,3.55
730,Giontakahashi  ,Gion Shijo,Kappo (Traditional Japanese),Fugu (Blowfish),3.57
731,Ranka  ,Kawaramachi,Bistro,French,3.58
732,Hakatamotsunabefukuya  ,Kawaramachi,Motsu Nabe (Offel Hot Pot),Izakaya (Tavern),3.03
733,Ramenhikosaku  ,Imadegawa,Ramen,Dumplings,3.51
734,Shunsaisousakubifferoan  ,Yawatashi,Buffet style,Shabu Shabu (Japanese Steamboat),3
735,Tempurabaruharuichi  ,Karasuma Oike,Tempura,Bar,3.3
736,Tankumakitamise  ,Kawaramachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.59
737,Miho  ,Nishioji,Izakaya (Tavern),Okinawan Cuisine,3.23
738,Tempurakawatatsu  ,Katsuragawa,Tempura,Kaiseki (Traditional Japanese),3.56
739,Gyaatei  ,Arashiyama,Buffet style,Sushi,3.51
740,Ryuumon  ,Mototanaka,Sichuan Cuisine,Dim sum,3.08
741,Yakinikudaisen  ,Saiin,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3
742,Erupojo  ,Kyoto,Spain,Pizza,3.2
743,Man  ,Kyoto Shiyakusho Mae,Sushi,Kappo (Traditional Japanese),3.06
744,Baoku  ,Karasuma,Bar,Wine bar,3.08
745,Arashiyamakohakudou  ,Arashiyama,French,Cafe,3.07
746,Shinshin  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.49
747,Icchou  ,Gion Shijo,Kyoto Cuisine,Nihonshu (Japanese sake),3.02
748,Shusaishokubouichi  ,Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.22
749,supeimbarurapaera  ,Matsugasaki,Spain,Bar,3.28
750,Gimmiyananairo  ,Omiya,Izakaya (Tavern),Kappo (Traditional Japanese),3.06
751,Marugameseimen  ,Kyoto Shiyakusho Mae,Udon,NA,3.07
