ID,Name,Station,FirstCategory,SecondCategory,TotalRating
866,Gyuukimura  ,Nagitsuji,Yakiniku (BBQ Beef),Sukiyaki,3.06
867,Kafecherisshu  ,Marutamachi,Cafe,Sweets (and others),3.45
868,Masoho  ,Kyoto,Seafood,Robatayaki,3.35
869,Kamogawatakashi  ,Jingu Marutamachi,Yakiniku (BBQ Beef),Kaiseki (Traditional Japanese),3.59
870,IZAMA  ,Karasuma,Kyoto Cuisine,Creative cuisine,3.53
871,Kaisekihyouki  ,Karasuma Oike,Kappo (Traditional Japanese),Kyoto Cuisine,3.47
872,miyazakikenhyuugashitsukadanoujou  ,Sanjo,Izakaya (Tavern),Fowl,3.03
873,Kyounojiyasaiitariampacchokone  ,Kyoto,Italian,Pasta,3.03
874,Kabochanotane  ,Gion Shijo,Kappo (Traditional Japanese),Kyoto Cuisine,3.51
875,Giwonyakinikushige  ,Gion Shijo,Yakiniku (BBQ Beef),Shabu Shabu (Japanese Steamboat),3.06
876,Taruhachi  ,Mototanaka,Izakaya (Tavern),Ramen,3
877,THE BUFFET STYLE SARA  ,Shijo,Buffet style,Creative cuisine,3.12
878,Karafuneyakohiten  ,Kyoto Shiyakusho Mae,Traditional Café,Cafe,3.52
879,Arashiyamataniguchi  ,Arashiyama,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.06
880,danieruzuaruba  ,Karasuma Oike,Italian,Dining bar,3.08
881,Giongyuuzen  ,Gion Shijo,Shabu Shabu (Japanese Steamboat),Sukiyaki,3.06
882,guridorufo-suitsuraku  ,Karasuma,Teppanyaki,Steak,3.06
883,Tatsumiya  ,Uji,Kyoto Cuisine,Hot Pot (other),3.07
884,Okonomiyakitonchinkan  ,Kyoto Shiyakusho Mae,Okonomiyaki,Monjya yaki,3.05
885,Kifuneugenta  ,Kurama,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.54
886,teuchiudonishokuyabongu  ,Nishi Maizuru,Izakaya (Tavern),Udon,3.07
887,umaimonyaki sun  ,Gion Shijo,Yakitori (Grilled chicken),Motsu Nabe (Offel Hot Pot),3.03
888,Toritoyudoufuizakayaaogiya  ,Saiin,Izakaya (Tavern),Kyoto Cuisine,3.15
889,Menshoutakamatsu  ,Karasuma,Tsukemen,Ramen,3.58
890,Wayang Bali  ,Kyoto Shiyakusho Mae,Indonesia cuisine,NA,3.04
891,Waraku  ,Fukuchiyama,Izakaya (Tavern),Kaiseki (Traditional Japanese),3
892,YEBISU BAR  ,Kyoto,Beer bar,Bar,3.08
893,Ibushiginkazuya  ,Kawaramachi,Bar,Nihonshu (Japanese sake),3.36
894,Tenichi  ,Kyoto,Tempura,Ten-don (Tempura Bowl),3.51
895,Rakuzenkakinuma  ,Jingu Marutamachi,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),3.1
